question_text,option_a,option_b,option_c,option_d,correct_option
"You are a Certified Ethical Hacker (CEH) hired by a company to test the security of their web application. While testing, you notice that the application is not properly enforcing restrictions on the actions of authenticated users. You suspect this could be an instance of one of the OWASP Top 10 Application Security Risks. Which of the following risks is the application most likely vulnerable to?",Cryptographic Failures,Broken Access Control,Injection,Security Misconfiguration,A
"As a senior cybersecurity professional at a multinational bank, you are investigating an incident where multiple systems have been infected with malware. On the affected systems, the malware remains dormant until a specific action triggers its malicious activity. The malware has also shown signs of being able to avoid detection by changing its code or encryption each time it infects a new . Based on these characteristics, which type of malware is likely causing this problem, and what is the best method to mitigate its impact?","Rootkit: Use an anti-rootkit tool for detection and removal, and ensure all systems are patched with the latest security updates.",Polymorphic Malware: Employ advanced threat detection tools that use behavior-based detection techniques and ensure all systems are patched.,"Worm: Isolate the infected systems, and scan the entire network using up-to-date anti-virus software.","Adware: Use a reputable anti-adware tool to detect and remove the adware, and instruct employees not to click on suspicious advertisements.",A
"As an Ethical Hacker, you've been asked to test an application's vulnerability to SQL injection. In the process, you discover an entry field that appears susceptible. However, the backend database is unknown, and regular SQL injection techniques have so far failed to elicit useful information. Which advanced SQL Injection technique should you apply next?",Time-Based Blind SQL Injection,Union-Based SQL Injection,Error-Based SQL Injection,Content-Based Blind SQL Injection,A
"You are a security analyst for a medium-sized e-commerce company. Recently, the company has been suffering from repeated incidents of session hijacking. To prevent future incidents, you've been asked to suggest a robust strategy to mitigate this risk. Which of the following approaches would you recommend?",Implement a security awareness program to educate employees on the risks and signs of session hijacking.,"Apply an IPsec VPN solution that encrypts the entire IP packet, thereby making session hijacking attempts more difficult.",Deploy a network-based intrusion prevention system (IPS) to detect and prevent session hijacking attempts in real-time.,Implement a new physical security policy to prevent unauthorized access to the company's data centres.,A
"As a security analyst, you're investigating an incident where an attacker was able to gain access to your network. Upon initial examination of the log files, you noticed a large number of TCP SYN packets sent to various ports on the network but with no corresponding ACKs. What type of scanning technique do you think the attacker may have used?",The attacker has used a SYN/ACK scan to trick the firewall into allowing the packets to pass through.,The attacker has used a TCP Connect scan to establish a full TCP connection with the target.,The attacker has used an XMAS scan to determine the open and closed ports on the network.,"The attacker has used a SYN scan, also known as half-open scanning, which involves sending SYN packets and waiting for SYN/ACK responses.",A
"A leading cloud service provider is facing a series of sophisticated Denial-of-Service (DoS) attacks, targeting its infrastructure and disrupting service availability for customers. The attacks are characterized by their complexity and adaptability, requiring the security team to deploy advanced mitigation strategies to maintain service continuity. Given the scenario described, which sophisticated Denial-of-Service (DoS) technique, resembling a scenario-based attack, poses the greatest challenge for the security team to detect and mitigate effectively, potentially compromising the availability of cloud services?","A distributed botnet attack targeting the cloud provider's API endpoints, flooding them with high-volume requests to exhaust server resources and disrupt management functions.","A zero-day exploit targeting virtualization hypervisors used by the cloud provider, causing virtual machine (VM) resource contention and service degradation through VM escape.","A coordinated SYN-ACK flood attack targeting the cloud provider's load balancers, overwhelming them with malicious TCP SYN-ACK packets to disrupt traffic distribution and cause service unavailability.","A sophisticated application-layer DoS attack targeting specific cloud service APIs, exploiting vulnerabilities to exhaust server-side resources and disrupt application functionality.",A
"A prominent healthcare organization relies on mobile platforms to access electronic health records (EHR) and facilitate communication among healthcare professionals. Recently, the security team detected suspicious activities indicating potential vulnerabilities in the mobile platforms, raising concerns about unauthorized access to sensitive patient data and potential breaches of medical privacy laws. The team is tasked with identifying advanced hacking techniques targeting mobile platforms and implementing robust measures to enhance mobile security and protect patient confidentiality. Given the scenario described, which sophisticated hacking technique, resembling a scenario-based attack, poses the greatest challenge for the security team to detect and mitigate effectively, potentially compromising the security of the healthcare organization's mobile platforms?","Bluejacking Exploiting Bluetooth Connections to Send Unsolicited Messages or Malicious Links to Nearby Mobile Devices, Potentially Compromising Device Security and Data Integrity","Side-Channel Attack Exploiting Physical Characteristics of Mobile Devices, such as Power Consumption or Electromagnetic Emissions, to Extract Sensitive Data, Such as Encryption Keys","App Spoofing Impersonating Legitimate Healthcare Apps to Trick Users into Providing Sensitive Information, Such as Medical History or Insurance Details",Zero-Day Exploits Leveraging Previously Unknown Vulnerabilities in Mobile Operating Systems or Applications to Gain Unauthorized Access to Healthcare Data and Patient Records,A
"A security analyst working for a large financial corporation has been assigned to conduct a comprehensive penetration test on the corporation's wireless infrastructure. The infrastructure relies on a secured WPA2-PSK-secured network to ensure data protection. During the course of the examination, the analyst discerned a significant vulnerability within the network that could potentially be exploited. Which of the subsequent options most accurately delineates the procedure that the analyst might have employed to pinpoint this particular vulnerability?","The analyst instigated a de-authentication attack, purposely causing a mass disconnection of all clients from the access point. The analyst then attentively observed the four-way handshake process that occurred during the clients' reconnection attempts.","The analyst conducted a rogue access point attack, cunningly emulating the characteristics of the legitimate access point to deceive clients into unintentionally connecting to a malicious network.","The analyst implemented a jamming attack, deliberately interfering with the wireless network's communication functionality, forcing the access point to inadvertently reveal the pre-shared key.","The analyst initiated a man-in-the-middle attack, surreptitiously intercepting and modifying the communication between the client and the access point, effectively purloining the pre-shared key.",A
"A cybersecurity analyst working for a multinational corporation is tasked with performing regular surveillance of their competitors' digital presence to identify any changes that could indicate strategic shifts or potential threats. To stay updated on their competitors' web content updates, the analyst has devised a plan to use several tools and techniques to achieve his objective efficiently. However, there is a key component in his strategy that he overlooked. Which of the following is the most crucial aspect he should add to ensure the effective implementation of his surveillance strategy?",Use a VPN service when visiting the competitors' websites to obscure his own IP address.,Set up Google Alerts to receive email notifications whenever new web content includes their competitors' names or other key terms.,Engage in discussions on the competitors' blogs and forums to obtain inside information about their operations.,Hire a third-party service to hack into the competitors' databases and gather confidential data.,A
"At XYZ Corporation, a multinational firm known for its digital services, the cybersecurity team is tasked with ensuring a robust, secure network environment. This responsibility includes maintaining a keen focus on vulnerability assessment and patch management strategies to guard against potential threats, including the increasingly prevalent zero-day attacks. Recent intelligence has alerted the team to a concerning issue: the primary web server software that the corporation relies on for its critical operations has been hit with a newly discovered zero-day vulnerability. Alarmingly, this vulnerability is not just theoretical; active exploitations of this vulnerability have been spotted in the wild, making the threat immediate and real. However, the vendor of the software, caught off guard by the discovery, has not yet released an official patch to mitigate this vulnerability. Given these circumstances, what is the FIRST step that the cybersecurity team at XYZ Corporation should undertake to manage the significant risk posed by this unpatched zeroday vulnerability?",Initiate a regimented protocol of regular backups of the web server data and ensure a thoroughly developed incident response plan is ready for deployment.,Proactively shut down the web server completely until an official patch is released by the software vendor to fix the identified vulnerability.,Swiftly apply a virtual patch to the affected web server using a web application firewall to temporarily safeguard against potential exploits.,Maintain the course of normal operations but keep a close watch on the web server for any unusual activities or signs of a potential attack.,A
"As a cybersecurity analyst, you were assigned the task of analyzing the traffic patterns of your company's network. You started noticing irregularities that suggested a potential scanning attempt. The attacker appears to be quite sophisticated, operating slowly and meticulously, making it a challenge to detect or trace. Given the stealthiness of this approach, which of the following scenarios best describes the scanning technique the attacker might be using?","The attacker is directly establishing a TCP connection with every port on the system to identify open ones, risking immediate detection.","The attacker is sending packets with all flags set, hoping that closed ports will respond differently than open ones.","The attacker is utilizing a 'zombie' machine to transmit the scan, thus making the true source of the scan difficult to determine.","The attacker is sending FIN packets, assuming that the target system will respond differently to these packets depending on the state of the ports.",A
"In your capacity as a cybersecurity expert, you intercept an encrypted packet string seemingly following the protocol of legitimate system-level communications. However, the string's cyclical pattern and a peculiar system response time hint at a potential 'Clock Skew-Based Attack'. In this method, minute discrepancies in a system's internal clock are manipulated to glean system data indirectly. Given the insidious nature of such an attack, which strategy would offer the most robust defense against it?",Deploy a real-time network traffic monitor to filter and analyze cyclical patterns in packet transmissions.,Institute a randomized clock adjustment protocol that frequently alters the system's internal clock.,"Enhance encryption methods for all internal communications, focusing on bolstering packetlevel security.",Reconfigure system settings to restrict access to clock data to only the most essential system operations.,A
"In your role as a cybersecurity analyst at a large e-commerce company, you have been tasked with reinforcing the firm's defences against potential Denial-of-Service (DoS) attacks. During a recent review, you noticed several IP addresses generating excessive traffic, causing an unnaturally high load on the server. An inspection of these packets revealed that the TCP three-way handshake was never completed, leaving multiple connections in a SYN_RECEIVED state. The intent appears to be the saturation of server resources without any genuine intent to establish a full connection. Given these details, what type of DoS attack is most likely being executed against the company's servers?","Ping of Death: This attack sends malformed or oversized ping packets to crash, freeze, or reboot the targeted system, which isn't consistent with the incomplete TCP handshake observed.","Smurf Attack: In this type of attack, a perpetrator uses a network's broadcast addressing to amplify the ICMP echo-request packets. However, this doesn't align with the incomplete TCP handshakes noted.","SYN Flood: This attack floods a target with SYN requests in an attempt to consume enough server resources to make the system unresponsive, aligning with the high volume of incomplete TCP handshakes.","UDP Flood: This attack overwhelms random ports on a remote host with IP packets containing UDP datagrams, but this doesn't explain the high volume of incomplete TCP handshakes observed.",A
A company's customer data stored in a cloud environment has been exposed due to an unknown vulnerability. Which of the following types of attack most likely led to this incident?,Side-channel attack on the hypervisor,Exploitation of misconfigured security groups,Brute force attack on user passwords,Denial of Service (DoS) attack on cloud servers,A
"You are a security consultant who has been hired to conduct security awareness training at a midsized organization. During the session on social engineering, you emphasize the importance of being vigilant against different types of social engineering attacks. Which of the following scenarios best describes a tailgating social engineering attack?",An email is sent to a company's employees claiming there is an urgent system update and they need to enter their login credentials to complete the process.,"An attacker leaves a USB labelled ""Employee Bonus List"" in the restroom, hoping someone will insert it into their computer.",A person gains access to the building by following an employee through a secure door before it closes.,"An attacker calls a company's customer service representative, claiming they lost their account details and need assistance in recovering them.",A
"You are a network security analyst at a large company. While conducting a routine analysis of your IDS logs, you notice a significant number of alerts triggered by traffic coming from a single IP address. The traffic patterns and packet details suggest that this might be an attempt to perform an evasion attack by fragmenting IP packets. Which type of evasion technique does this scenario likely describe?","IP fragmentation evasion, where the attacker splits malicious payloads across multiple small packets.","Traffic flooding evasion, where the attacker overwhelms the IDS with massive amounts of traffic.","Encryption evasion, where the attacker hides the malicious payload by encrypting the packets.","Timing-based evasion, where the attacker sends malicious payloads at intervals to bypass IDS detection.",A
