question_text,option_a,option_b,option_c,option_d,correct_option
As a cybersecurity analyst... idle zombie machine port scanning?,The attacker is directly establishing a TCP connection...,The attacker is sending packets with all flags set...,"The attacker is utilizing a 'zombie' machine to transmit the scan, thus making the true source of the scan difficult to determine.",The attacker is sending FIN packets...,C
As a cybersecurity analyst... TCP connect scan 'filtered' port status?,The network is experiencing high traffic...,The scanned ports are closed...,The firewall of the target hosts is configured to ignore the scan requests.,The TCP connect scan is incompatible...,C
In your capacity as a cybersecurity expert... defense against Clock Skew-Based Attack?,Deploy a real-time network traffic monitor...,Institute a randomized clock adjustment protocol that frequently alters the system's internal clock.,Enhance encryption methods...,Reconfigure system settings...,B
As a certified ethical hacker... anomalous traffic on smart city IoT traffic light?,Conduct an exhaustive penetration test...,Attempt to orchestrate a reverse connection...,Thoroughly analyze and amend firewall rules...,Isolate the implicated traffic light from the overarching network for a detailed investigation into its firmware to identify any possible security breaches.,D
A multinational organization... enforce compliance with WPA3 policy?,Disable the SSID broadcast...,Implement MAC address filtering...,Implement a Wireless Intrusion Prevention System (WIPS)...,Set up the access points to reject connections from devices not using WPA3.,D
You're an IT security analyst... ICMP Echo Request non-responsive IPs interpretation?,The non-responsive IPs indicate severe network congestion...,The firewall or another security control is probably blocking the ICMP Echo Requests.,The scanned IPs are likely unused...,The lack of an Echo Reply is a clear sign of a major breach...,B
In your role as a cybersecurity analyst... incomplete TCP handshake SYN_RECEIVED state DoS attack?,Ping of Death...,Smurf Attack...,"SYN Flood: This attack floods a target with SYN requests in an attempt to consume enough server resources to make the system unresponsive, aligning with the high volume of incomplete TCP handshakes.",UDP Flood...,C
A company's customer data stored in a cloud environment... unknown vulnerability cloud data breach?,Side-channel attack on the hypervisor,Exploitation of misconfigured security groups,Brute force attack on user passwords,Denial of Service (DoS) attack on cloud servers,B
You are a security consultant... tailgating social engineering scenario?,An email is sent to a company's employees...,"An attacker leaves a USB labelled ""Employee Bonus List""...",A person gains access to the building by following an employee through a secure door before it closes.,An attacker calls a company's customer service representative...,C
You are a network security analyst... single IP fragmenting IP packets evasion technique?,"IP fragmentation evasion, where the attacker splits malicious payloads across multiple small packets.",Traffic flooding evasion...,Encryption evasion...,Timing-based evasion...,A
